제작자,차명,생산기간,생산기간,리콜개시일,리콜사유
유한회사 모토로싸,MTS1260,2018-01-24,2018-02-08,2020-01-27,사이드 스탠드 제조 공정상 용접 불량으로 사이드 스탠드의 용접 부위가 부러질 수 있음. (#참고 사항 : 2019년식 이후 모델에 장착된 사이드 스탠드는 공급사가 바뀌면서 이와 같은 문제 없음)
비엠더블유코리아(주),BMW M8 Competition,2019-07-05,2019-10-21,2020-01-10,"2019년 01월 30일부터 2019년 10월 21일까지 생산된 BMW M5, M8 Competition 모델 중 171대 차량의 변속기 배선 고정 공정 과정에서 배선을 고정하는 클립을 잘 못 장착하여 고정된 위치가 과도한 압착 및 변속기 등 주변에서 발생하는 열에 영향을 받아 배선이 단락 될 수 있습니다."
비엠더블유코리아(주),BMW M5,2019-01-30,2019-10-21,2020-01-10,"2019년 01월 30일부터 2019년 10월 21일까지 생산된 BMW M5, M8 Competition 모델 중 171대 차량의 변속기 배선 고정 공정 과정에서 배선을 고정하는 클립을 잘 못 장착하여 고정된 위치가 과도한 압착 및 변속기 등 주변에서 발생하는 열에 영향을 받아 배선이 단락 될 수 있습니다."
포드세일즈서비스코리아(유),2017년식 Explorer,2016-05-23,2017-10-17,2020-01-10,"2017년식 Explorer 차량의 전동시트(파워시트) 프레임 트랙의 가장자리에 날카로운 마무리가 남아있을 수 있습니다. 이렇게, 시트 프레임 트랙의 날카로운 마무리로 인하여, 앞좌석과 콘솔 사이에 손을 넣으면 다칠 수 있는 위험이 있기 때문에 이를 예방하기 위해 제작결함을 시정하고자 함"
포드세일즈서비스코리아(유),2015-2018년식 Mondeo,2014-08-03,2017-10-15,2020-01-31,"2015-2018년식 Mondeo 차량은 시간이 지남에 따라 배터리 음극(-)단자 주변에 황산구리가 생성될 수 있으며, 생성된 황산구리로 인하여 배터리 모니터링 센서 하단부에 낮은 저항의 전도성 층이 생성될 수 있습니다. 이렇게 생성된 낮은 저항의 전도성 층으로 전류의 흐름이 증가하면 주변부가 가열되어 발화될 위험이 있음"
현대자동차(주),쏘나타(DN8),2019-03-11,2019-09-24,2020-01-30,연료펌프 제어 유닛 내부 인쇄회로기판(PCB)의 제조불량(인쇄회로폭이 기준보다 협소)으로 냉간 시동 시 연료펌프 제어 유닛으로 유입되는 고전류에 의해 단선 발생 가능
메르세데스벤츠코리아(주),C 220 CDI,2009-04-02,2011-02-04,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 200 KOMPRESSOR,2009-05-05,2010-02-26,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 200 CGI,2010-01-29,2011-02-18,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 230 / C 250,2009-05-05,2011-02-15,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 63 AMG,2009-05-14,2011-01-05,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),GLK 220 CDI 4MATIC,2009-05-12,2012-05-25,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),E 350 Coupe,2008-12-17,2011-04-29,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 220 CDI,2009-11-12,2011-05-05,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 220 CDI,2011-02-22,2014-02-27,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 220 CDI 4MATIC,2013-06-07,2013-12-03,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 200,2011-02-21,2013-12-13,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 230 / C 250,2011-02-02,2013-04-18,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
메르세데스벤츠코리아(주),C 63 AMG,2011-03-24,2013-09-10,2020-01-31,질산암모늄을 인플레이터로 사용한 건조제 없는 에어백이 장시간 높은 절대 습도에 노출 된 경우 에어백 전개시 인플레이터의 하우징이 과도한 내부 압력으로 인해 파열될 수 있습니다. 에어백 전개시 에어백 인플레이터의 하우징이 과도한 내부 압력으로 파열될 수 있습니다.
아우디폭스바겐코리아(주),Golf 1.4 TSI,2010-12-01,2012-05-03,2020-02-28,"특정 기간 내에 특정 공급 업체(Jedenak;이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다. 기 조치된 35C1 리콜(메카트로닉스 모듈 교체; 2013/06/24 개시) 실시 대상 차량과 일반 수리로 메카트로닉스 모듈을 교환한 차량들이 특정 기간의 원인 부품으로 교환되었을 가능성이 있습니다."
아우디폭스바겐코리아(주),Golf 1.6 TDI BMT,2010-08-05,2016-11-05,2020-02-28,"특정 기간 내에 특정 공급 업체(Jedenak;이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다. 기 조치된 35C1 리콜(메카트로닉스 모듈 교체; 2013/06/24 개시) 실시 대상 차량과 일반 수리로 메카트로닉스 모듈을 교환한 차량들이 특정 기간의 원인 부품으로 교환되었을 가능성이 있습니다."
아우디폭스바겐코리아(주),Jetta 1.6 TDI BMT,2011-05-26,2012-09-28,2020-02-28,"특정 기간 내에 특정 공급 업체(Jedenak;이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다. 기 조치된 35C1 리콜(메카트로닉스 모듈 교체; 2013/06/24 개시) 실시 대상 차량과 일반 수리로 메카트로닉스 모듈을 교환한 차량들이 특정 기간의 원인 부품으로 교환되었을 가능성이 있습니다."
아우디폭스바겐코리아(주),Jetta 2.0 TDI BMT,2014-11-03,2015-01-19,2020-02-28,"특정 기간 내에 특정 공급 업체(Jedenak;이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다. 기 조치된 35C1 리콜(메카트로닉스 모듈 교체; 2013/06/24 개시) 실시 대상 차량과 일반 수리로 메카트로닉스 모듈을 교환한 차량들이 특정 기간의 원인 부품으로 교환되었을 가능성이 있습니다."
아우디폭스바겐코리아(주),Polo 1.6 TDI,2013-04-14,2013-04-14,2020-02-28,"특정 기간 내에 특정 공급 업체(Jedenak;이드낙)의 생산 공정 불량으로 인해, 메카트로닉스 내 오일 압력 생성기(어큐뮬레이터)의 나사산이 날카롭게 가공되어, 사용 기간 중 어큐뮬레이터 하우징에 미세 균열이 발생하여 충분한 변속 압력 생성에 지장을 줄 가능성이 있습니다. 기 조치된 35C1 리콜(메카트로닉스 모듈 교체; 2013/06/24 개시) 실시 대상 차량과 일반 수리로 메카트로닉스 모듈을 교환한 차량들이 특정 기간의 원인 부품으로 교환되었을 가능성이 있습니다."
비엠더블유코리아(주),BMW 316i,2001-01-09,2001-01-09,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 318iA,1999-09-21,2001-04-20,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 320i,1999-09-02,2001-07-11,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 323i,1999-09-15,1999-09-20,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 328i,2000-01-17,2000-01-17,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2000-10-18,2001-07-09,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 323i,2000-04-20,2000-05-23,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 320d,2001-11-02,2002-04-22,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2000-09-22,2001-07-19,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325I,2000-09-19,2001-01-12,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330i,2000-06-08,2001-07-20,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330i,2000-09-05,2001-08-10,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 318i,2003-10-23,2003-10-23,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 318i,2001-08-28,2003-09-04,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2003-02-18,2004-11-29,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2004-10-09,2004-12-15,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2003-04-01,2004-01-16,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330i,2003-07-31,2005-05-30,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW M3,2001-03-05,2005-07-27,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW M3,2001-03-05,2006-05-19,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 320i,2000-04-27,2000-04-27,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 323Ci,1999-07-14,1999-08-12,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 328Ci,2000-03-17,2000-03-17,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2000-09-29,2002-01-04,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2001-03-31,2001-03-31,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2001-08-08,2003-02-10,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW M3,2001-10-09,2006-03-10,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2000-12-16,2003-01-23,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 3125Ci,2001-11-30,2002-11-08,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2001-06-01,2003-02-22,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2003-11-18,2006-01-24,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2003-03-07,2005-09-26,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Ci,2003-09-25,2004-12-18,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2005-01-17,2005-01-17,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Ci,2001-01-09,2001-01-09,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 318d,2004-02-26,2004-02-26,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Xi,2001-12-07,2001-12-07,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 316i,2001-09-10,2001-09-10,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2001-11-24,2004-10-06,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Xi,2003-08-29,2004-02-25,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325Xi,2001-10-20,2003-12-01,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 320i,2001-01-10,2004-10-28,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2001-08-28,2004-05-13,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 325i,2002-01-23,2005-01-24,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330i,2001-09-03,2004-02-20,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330i,2002-09-09,2004-12-16,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 330Xi,2003-01-25,2003-01-25,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 318i,2004-06-14,2004-10-18,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
비엠더블유코리아(주),BMW 316i,2001-01-09,2001-01-09,2020-02-07,차량이 고온 다습한 지역에 장기간 노출 되었을 때 에어백 인플레이터 내부 압축가스 추진체가 변형되어 에어백 전개 시 인플레이터의 과도한 폭발 압력으로 에어백이 전개될 수 있습니다.
